job_title|company_name|location|province|posted_at|python_yn|sql_yn|mysql_yn|postgresql_yn|database_yn|aws_yn|azure_yn|spark_yn|hadoop_yn|kafka_yn|snowflake_yn|databricks_yn|apache_yn|git_yn|github_yn|tableau_yn|power bi_yn|looker_yn|experience_needed_yn|min_salary|max_salary|avg_salary
Data Engineer|PT IDStar Cipta Teknologi|Jakarta|jakarta|2026-03-17 16:00:00|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
IT Database Administrator|PT Kimia Yasa|Surabaya, East Java|east java|2026-03-17 10:00:00|0|1|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
Data Analyst|PT Propan Raya Industrial Coating Chemicals|Tangerang, Banten|banten|2026-03-05 01:00:00|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|||
Geospatial Datascience Officer|PT SMART,Tbk|Jakarta|jakarta|2026-03-07 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|||
Business Development Analyst|PT Daaz Bara Lestari|South Jakarta, Jakarta|jakarta|2026-03-13 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|1|||
DATA ANALYST|PT Usaha Prima Nusantara|Medan, North Sumatra|north sumatra|2026-03-15 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|1|||
DATA ANALYST|PT Alun Indah|Jakarta|jakarta|2026-02-28 01:00:00|1|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|1|0|1|||
Supervisor Data Analyst|PT Multirasa Nusantara (YOSHINOYA Japanese Restaurant)|South Jakarta, Jakarta|jakarta|2026-02-26 01:00:00|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|||
IT Manager (Enterprise Systems & Data)|CV Unitech Indonesia|Malang, East Java|east java|2026-03-04 01:00:00|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|||
Master Data Analyst|PT Amman Mineral Nusa Tenggara|West Sumbawa, West Nusa Tenggara|west nusa tenggara|2026-03-06 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
Operational Compliance & Data Monitoring Officer|PT Chateraise Gobel Indonesia|South Jakarta, Jakarta|jakarta|2026-03-03 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
Data Analyst|Private Advertiser|Bandung, West Java|west java|2026-03-12 01:00:00|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|||
Data Science-Risk Modelling|PT KREDIT PLUS TEKNOLOGI|Tangerang, Banten|banten|2026-03-12 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|9200000.0|10500000.0|9850000.0
