job_title|company_name|location|province|posted_at|python_yn|sql_yn|mysql_yn|postgresql_yn|database_yn|aws_yn|azure_yn|spark_yn|hadoop_yn|kafka_yn|snowflake_yn|databricks_yn|apache_yn|git_yn|github_yn|tableau_yn|power bi_yn|looker_yn|experience_needed_yn|min_salary|max_salary|avg_salary
Senior Data Engineer|Halodoc|South Jakarta, Jakarta|jakarta|2026-02-25 01:00:00|1|1|0|0|1|1|0|1|0|1|0|0|0|0|0|0|0|0|0|||
Corporate Social Responsibility Analyst|PT Tower Bersama Infrastructure, Tbk|Jakarta|jakarta|2026-03-17 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
Production Engineer (Master Data/Data Analyst)|SCG|Karawang, West Java|west java|2026-02-26 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|||
System Analyst|Passion Jewelry|South Tangerang, Banten|banten|2026-02-19 01:00:00|0|1|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
Market Research - Data Analyst Media Advertising OOH|Devis Jaya|Jakarta|jakarta|2026-02-26 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|1|||
IT Functional Analyst Supervisor|PT Tangkas Cipta Optimal|Kemayoran, Jakarta|jakarta|2026-02-24 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|||
Product Support Analyst I|CSG International Sdn. Bhd.|Jakarta|jakarta|2026-02-16 01:00:00|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
Data Analyst Assistant Manager|PT. Dirgaputra Ekapratama|East Jakarta, Jakarta|jakarta|2026-02-21 01:00:00|1|1|1|0|1|0|0|0|0|0|0|0|0|0|0|1|1|0|1|||
Database Administration|PT Supra Boga Lestari Tbk|Pesanggrahan, Jakarta|jakarta|2026-02-25 01:00:00|0|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
Data Support (Balikpapan)|PT Depoguna Bangunan Online|Not Available|Not Available|2026-02-22 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
Business Analyst - IT Consulting - Jakarta (B-128254)|RGF HR Agent Indonesia|South Jakarta, Jakarta|jakarta|2026-02-27 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|20000000.0|30000000.0|25000000.0
Senior Database Analyst|PT Bank Perekonomian Rakyat Danamas|Surabaya, East Java|east java|2026-02-25 01:00:00|0|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|1|0|0|7000000.0|9000000.0|8000000.0
Claim Analyst|PT Prudential Life Assurance|South Jakarta, Jakarta|jakarta|2026-02-27 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
Data Engineer Section Head|PT Triputra Agro Persada|South Jakarta, Jakarta|jakarta|2026-02-21 01:00:00|1|1|1|1|1|0|0|0|0|1|1|0|0|0|0|0|0|0|1|||
ACCOUNTING ANALYST|PT Astra Graphia Information Technology (AGIT)|Jakarta|jakarta|2026-02-25 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
RPA Business Analyst – UiPath|Tech Mahindra ICT Services ( Malaysia ) SDN. BHD.|Jakarta|jakarta|2026-02-24 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|20000000.0|30000000.0|25000000.0
Risk Analyst|PT Home Credit Indonesia|South Jakarta, Jakarta|jakarta|2026-02-20 01:00:00|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
IT Business Analyst|PT Neo Fusion Indonesia|South Jakarta, Jakarta|jakarta|2026-02-27 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|||
System Analyst (Fresh Graduate)|PT Hashmicro Solusi Indonesia|Central Jakarta, Jakarta|jakarta|2026-02-28 01:00:00|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
Junior AI & Data Engineer|PT Solusi Prima Packaging|South Tangerang, Banten|banten|2026-02-27 01:00:00|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
Laboratory Analyst|PT Qinfa Mining Industri|Kotabaru, South Kalimantan|south kalimantan|2026-03-03 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
Cost Analyst (Manufacture / EPC) (North Jakarta)|PT Adecco Personnel Indonesia|North Jakarta, Jakarta|jakarta|2026-02-20 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|15000000.0|20000000.0|17500000.0
Staf Administrasi Data|PT Maju Express Indonesia|Semarang, Central Java|central java|2026-02-28 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|3000000.0|4000000.0|3500000.0
Procurement Project Analyst|PT Hartono Plantation Indonesia|West Jakarta, Jakarta|jakarta|2026-02-28 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|||
Senior Financial Analyst|PT Kaia Anugerah Indonesia|Central Jakarta, Jakarta|jakarta|2026-02-20 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
Distribution Improvement Analyst Supervisor|PT Tirtakencana Tatawarna (Head Office)|Surabaya, East Java|east java|2026-03-05 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|||
STOCK CONTROL ANALYST|PT AKR Corporindo, Tbk|West Jakarta, Jakarta|jakarta|2026-03-03 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
Sales & Operations Planning (S&OP) Analyst|JAPFA FOOD INDONESIA|West Jakarta, Jakarta|jakarta|2026-02-21 01:00:00|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|1|||
QC Analyst|PT Wahana Citra Nabati|East Jakarta, Jakarta|jakarta|2026-02-16 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
Data Entry Staff|PT Seafood Inspection Laboratory|Denpasar, Bali|bali|2026-02-19 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3500000.0|3700000.0|3600000.0
Sales & Marketing Data Analyst|PT Tirtakencana Tatawarna (Head Office)|Surabaya, East Java|east java|2026-02-24 01:00:00|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|||
Data Analyst|PT Bangun Konstruksi Cemerlang|Jakarta|jakarta|2026-03-17 14:00:00|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
Data Analyst|PT Cerdas Digital Nusantara|Tangerang District, Banten|banten|2026-03-16 01:00:00|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|1|1|0|0|||
ADMIN DATA ANALYST|PT Mitracomm Ekasarana|Central Jakarta, Jakarta|jakarta|2026-03-17 15:00:00|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|6000000.0|6200000.0|6100000.0
Data Analyst|PT Rapid Teknologi Indonesia|Jakarta|jakarta|2026-03-13 01:00:00|1|1|0|0|1|0|0|0|0|0|0|0|0|0|0|1|1|1|0|||
Mud Logger/ Directional Driller/ Data Engineer/ Pressure Engineer|PT Navita Origo Solution|Bengkalis, Riau|riau|2026-03-13 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
Data Engineer|PT Acclime Consulting Indonesia|South Jakarta, Jakarta|jakarta|2026-03-12 01:00:00|1|1|0|0|0|0|1|0|0|0|1|1|0|0|0|1|1|0|0|10000000.0|15000000.0|12500000.0
Data Engineer|PT Sharing Vision Indonesia|Jakarta|jakarta|2026-03-14 01:00:00|1|1|1|0|1|0|0|1|0|1|0|0|0|0|0|1|0|0|1|||
Medior/Senior Data Engineer (Web Scrapping)|NucleusX B.V|South Denpasar, Bali|bali|2026-03-06 01:00:00|1|1|0|0|1|1|1|0|0|0|0|0|0|1|0|0|0|0|0|12000000.0|18000000.0|15000000.0
Alibaba Data Center Facility Engineer|TITANICOM TECH LIMITED|Jakarta|jakarta|2026-03-14 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
Mechanical Engineer Data center - MEP DATA Center|PT YPTT Solutions Indonesia|Tangerang, Banten|banten|2026-03-17 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
Data Engineer (ETL)|PT Lawencon Internasional|South Jakarta, Jakarta|jakarta|2026-02-19 01:00:00|0|1|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
Data Engineer|PT Japfa Comfeed Indonesia, Tbk|Surabaya, East Java|east java|2026-03-05 01:00:00|1|1|0|0|0|1|1|0|0|0|1|1|1|1|0|1|1|0|0|||
Data Engineer (Project Based)|PT GITS Indonesia|South Tangerang, Banten|banten|2026-03-17 01:00:00|1|1|1|1|1|1|1|1|1|1|0|0|1|0|0|0|0|0|0|||
Data Engineer|PT Graha Karya Informasi|Jakarta|jakarta|2026-03-03 01:00:00|1|1|0|0|1|1|1|1|1|1|0|0|1|0|0|0|1|0|0|10000000.0|13000000.0|11500000.0
Data Center Operation Engineer|PT Datacomm Diangraha|North Cikarang, West Java|west java|2026-03-03 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5950000.0|7500000.0|6725000.0
DATA Security Engineer (Operation)|PT Metrocom Global Solusi|South Jakarta, Jakarta|jakarta|2026-03-12 01:00:00|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|||
Electrical Engineer - Data Center Operations|Private Advertiser|Jakarta|jakarta|2026-03-17 11:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
Senior Data Center Mechanical Engineer|SM+|Jakarta|jakarta|2026-03-06 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
Senior Data Engineer|PT DAPUR SEHAT INDONESIA|South Tangerang, Banten|banten|2026-03-11 01:00:00|1|1|0|0|1|1|0|0|0|0|0|0|1|0|0|0|0|0|1|||
Test & Commissioning Engineer – Chiller (Data Center Project)|PT Berca Carrier Indonesia|Kemayoran, Jakarta|jakarta|2026-03-13 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
Data Center Facility Engineer|FARBEN INFORMATION (SINGAPORE) PTE. LTD.|Jakarta|jakarta|2026-03-17 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
IT Management Information System - Data Warehouse Engineer|OTO Group|South Jakarta, Jakarta|jakarta|2026-02-20 01:00:00|1|1|0|0|1|0|1|0|1|0|0|0|0|0|0|1|1|0|1|||
Civil Engineer Data Centre Projects (Coordinator)|PT Trimitra Putra Mandiri|South Jakarta, Jakarta|jakarta|2026-03-12 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
Field Service Engineer (Data Center - Power, UPS)|Vertiv|South Jakarta, Jakarta|jakarta|2026-03-13 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
Mechanical Engineer - Data Center Operations|Private Advertiser|Jakarta|jakarta|2026-03-17 11:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
Middle Data Engineer (Tech Vacancy) | Banking Industry | Jakarta | WFO|PT MSBU Konsultan Indonesia|Kebayoran Lama, Jakarta|jakarta|2026-03-13 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|||
Design Interior / Decoration Engineer (Data Center Building Project)|PT China Construction Yangtze River Indonesia|Cikarang Pusat, West Java|west java|2026-03-12 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|6000000.0|9000000.0|7500000.0
Principal Engineer | Enterprise Data Platform|Macquarie Group|Indonesia|Not Available|2026-03-17 19:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
Lowongan Kerja Data Engineer Mandarin Spekaer|Sinar Mas Group|Jakarta|jakarta|2026-02-24 01:00:00|1|1|0|0|1|1|1|1|1|1|0|0|1|0|0|0|0|0|1|||
Middle Oracle Database Engineer|PT Sisindokom Lintasbuana|Central Jakarta, Jakarta|jakarta|2026-02-25 01:00:00|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|||
Credit Risk Strategy & Optimization Analyst|PT UangMe Fintek Indonesia|South Jakarta, Jakarta|jakarta|2026-03-12 01:00:00|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
Database Management|Kop. Nusantara|Not Available|Not Available|2026-03-11 01:00:00|1|1|1|1|1|1|0|0|0|1|0|0|0|0|0|0|0|0|0|||
Data Centre Specialist (Cikarang, Indonesia)|Kuok Group Singapore|Jakarta|jakarta|2026-03-17 16:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|||
Analyst Procurement Staff|PT Bukaka Teknik Utama, Tbk|Cileungsi, West Java|west java|2026-03-10 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|||
ENDP _IT Data System Engineer Of HSE Mining (Location: Kalsel)|Private Advertiser|South Kalimantan|south kalimantan|2026-02-25 01:00:00|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|||
Data Center Construction Manager_ Jakarta|PT CBRE Consultancy Services|Jakarta|jakarta|2026-02-26 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
MEP Manager (Data Center)|PT Bureau Veritas Indonesia|Jakarta|jakarta|2026-03-14 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
Facility Data Center Job ID: 20251120TAC|PT Supra Primatama Nusantara(Biznet)|Not Available|Not Available|2026-03-12 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|||
Senior Oracle Database|PT Sisindokom Lintasbuana|Not Available|Not Available|2026-03-03 01:00:00|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
Data Centre Day Technician/ Data Center Day Teknisi (Cikarang)|PT CBRE Consultancy Services|North Cikarang, West Java|west java|2026-02-16 01:00:00|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|1|||
Product Analyst (Product and Process Engineering)|PT. Bumimulia Indah Lestari|North Cikarang, West Java|west java|2026-02-26 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|||
Inspector Fire (Data Center)|PT Bureau Veritas Indonesia|Jakarta|jakarta|2026-02-19 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
Project Manager (Data Center)|PT Bureau Veritas Indonesia|Jakarta|jakarta|2026-03-14 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
