,job_title,company_name,location,post_date,job_description,salary
10,Market research & Analysis,PT. Dwidaya World Wide,Market Research & Analysis (Marketing & Communications),Posted 1d ago,"Job Description:
Mengumpulkan data melalui survei untuk memahami perilaku pelanggan serta kondisi pasar
Menganalisis data untuk mengembangkan strategi pemasaran dan produk
Memberikan insight berdasarkan data yang ada untuk meningkatkan kepuasan pelanggan, memperbaiki layanan, dan mendorong pertumbuhan bisnis

Kualifikasi:
Minimal S1 Statistik / Management 
Mampu menganalisa data statistik (mean, median, correlation, regression) dan menyajikannya 
Mampu menganalisa pasar & pesaing (ukuran pasar, tren, strategi pesaing) ",Not Available
11,DATA ANALIS,MIKALINDO BAKTI CEMERLANG,"West Jakarta, Jakarta",Posted 18d ago,"Kualifikasi:
1. Pendidikan: Sarjana dalam bidang yang relevan, seperti Statistika, Matematika, Ilmu Komputer, atau Ekonomi.
2. Pengalaman: Pengalaman dalam analisis data, terutama dalam industri distribusi consumer goods.
3. Kemampuan Analisis: Kemampuan analisis data yang kuat, termasuk kemampuan untuk mengidentifikasi pola dan tren.
4. Kemampuan Komunikasi: Kemampuan komunikasi yang efektif untuk mempresentasikan hasil analisis kepada manajemen.
5. Kemampuan Teknis: Kemampuan menggunakan perangkat lunak analisis data, seperti Excel, SQL, Python, R, atau Tableau.
6. Bersedia bekerja dari senin - sabtu (setengah hari)
7. Penempatan Kalideres, Jakarta Barat

Keahlian:
1. Analisis Data: Keahlian dalam analisis data, termasuk kemampuan untuk mengidentifikasi pola dan tren.
2. Penggunaan Perangkat Lunak: Keahlian dalam menggunakan perangkat lunak analisis data, seperti Excel, SQL, Python, R, atau Tableau.
3. Komunikasi: Keahlian dalam komunikasi yang efektif untuk mempresentasikan hasil analisis kepada manajemen.
4. Problem-Solving: Keahlian dalam memecahkan masalah dan mengidentifikasi peluang terbaik
Tugas dan Tanggung Jawab:
1. Analisis Data: Mengumpulkan, menganalisis, dan menginterpretasikan data penjualan,   distribusi, dan lain-lain untuk memahami tren dan pola.
2. Pengembangan Laporan: Membuat laporan yang akurat dan tepat waktu untuk membantu manajemen dalam pengambilan keputusan.
3. Identifikasi Masalah: Mengidentifikasi masalah dan peluang perbaikan dalam proses distribusi dan penjualan.
4. Rekomendasi: Memberikan rekomendasi kepada manajemen berdasarkan hasil analisis data.
5. Pengembangan Model: Mengembangkan model analisis data untuk memprediksi penjualan, distribusi, dan lain-lain.","Rp 6,000,000 – Rp 7,000,000 per month"
12,Data Engineer,PT ROCKSTAR SPORTS SCHOOL,"West Jakarta, Jakarta",Posted 27d ago,"Job Descriptions:
Perform data exploration, data cleaning, data imputation, and feature engineering on unstructured and structured data.
Design, Develop and maintain report used for daily operation, management and analytics
Build the infrastructure for optimal extraction, transformation, and loading (ETL) of data from a wide variety of data sources.
Develop and maintain all data flows and prepare all ETL processes according to business requirements and incorporate all business requirements into all design specifications
Identifying, designing and implementing internal process improvements including re-designing infrastructure for greater scalability, optimizing data delivery, and automating manual processes 
Build analytics tools that utilize the data pipeline to provide actionable insights
Explore ways to enhance data quality and reliability Explore ways to enhance data quality and reliability
Document all test procedures for systems and processes              
 Job Requirements:
Bachelor's degree from computer science or related fields, or equivalent software engineering experience.
Advanced SQL knowledge and experience working with relational databases, query authoring (SQL). Preferably on MS SQL
Advanced Knowledge in reporting service tools. Preferably Microsoft SSRS
Advanced Knowledge in ETL / data pipeline applications. Preferably Microsoft SSIS.
Experienced in performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement.
Have an understanding and experience regarding the reporting dashboard and data warehouse concepts
Experienced in object-oriented/object function scripting languages: Python, Java, C#,C++, 
Proficiency in source control i.e. Git.
Got 2+ years of experience in Data Engineering role.
Familiar with Azure ETL product like Azure Data Factory, Azure Synapse, Azure Datalake, Azure Devops would be a great addition.",Rp 10.000.000 – Rp 15.000.000 per month
13,Data Scientist,PT Data Labs Analytics,"Central Jakarta, Jakarta",Posted 25d ago,"Job Description
Develop and implement machine learning models and algorithms to solve business problems, leveraging both structured and unstructured data.
Design and build scalable and efficient data pipelines for data ingestion, preprocessing, and feature engineering.
Collaborate with cross-functional teams to understand business requirements and translate them into technical specifications.
Conduct exploratory data analysis (EDA) to gain insights and identify patterns or trends.
Evaluate and select appropriate machine learning techniques, models, and algorithms based on project requirements.
Train, optimize, and fine-tune machine learning models using large-scale datasets.
Validate and test models for accuracy, reliability, and robustness.
Monitor and maintain deployed models, ensuring their performance and stability.
Collaborate with Data Engineers to integrate machine learning models into production systems.
Stay up to date with advancements in machine learning and actively contribute to the team's knowledge base.
Communicate findings, results, and recommendations to both technical and non-technical stakeholders or customers.

Requirements
Minimum 1 year of experience in Machine Learning and Data Science.
Bachelor's degree in Computer Science, Data Science, Mathematics, Statistics, or a related field (Master’s or Ph.D. is a plus).
Proven experience as a Data Scientist, Machine Learning Engineer, or similar role, with a strong track record of deploying models in real-world applications.
Proficiency in Python, R, or Scala, and experience with popular frameworks such as TensorFlow, PyTorch, or scikit-learn.
Solid understanding of machine learning techniques (supervised/unsupervised learning, deep learning, NLP, and reinforcement learning).
Experience with data manipulation, preprocessing, and feature engineering.
Strong knowledge of statistical analysis, hypothesis testing, and experimental design.
Familiarity with cloud platforms (AWS, Azure, or GCP) and distributed computing (Hadoop, Spark).
Proficiency in SQL and database management systems.
Strong problem-solving skills with the ability to navigate complex and ambiguous business challenges.
Excellent communication and teamwork skills.",Not Available
14,Ticketing Statistic Staff,PT Human Protalent Indonesia,Reservations (Hospitality & Tourism),Posted 5d ago,"Kualifikasi:
Pendidikan minimal S1 Statistika, Matematika, Akuntasi
Pengalaman minimal 1–2 tahun di posisi analis data
Mahir Excel (pivot, vlookup) dan pengolahan data
Teliti, mampu berpikir analitis, dan komunikatif
Mampu berbahasa Mandarin dan Inggris

Deskripsi Pekerjaan
Analisis Data: Mengumpulkan, dan menginterpretasikan data.
Handle data dari Manado Site
Pengembangan Laporan: Membuat laporan yang akurat dan tepat waktu untuk membantu manajemen dalam pengambilan keputusan.
Koordinasi administrasi di lapangan/area serta mengerjakan tugas tambahan dari atasan


 ",Rp 6.000.000 – Rp 8.000.000 per month
15,Data Analyst Officer,PT Asuransi Raksa Pratikara,"Central Jakarta, Jakarta",Posted 13h ago,"Are you someone who enjoys working in an environment where data integrity, actionable insights, and strategic growth really matter?
PT Asuransi Raksa Pratikara is a trusted insurance company that continues to scale its digital systems. As our technology grows, so do the challenges — and that’s where you come in.
We’re looking for a Data Analyst who’s curious, detail-oriented, and comfortable bridging the gap between raw numbers and business strategy. You’ll work hands-on with SQL and visualization tools, monitor key performance metrics, uncover trends, and help strengthen our data-driven decision-making.
This role is perfect for someone who likes digging into complex datasets, solving business problems, building dashboards, and constantly learning new analytical methods. Your work will directly impact operational efficiency, risk assessment, and future business strategies.
If you enjoy hands-on data storytelling, learning fast, and turning information into real business value, you’ll fit right in.

What You’ll Do:
Interpret complex datasets to analyze key metrics (e.g., sales trends, customer behavior, or operational costs) and provide actionable recommendations.
Design, build, and maintain self-serve dashboards using BI tools (Power BI, Tableau, or Looker) to democratize data access.
Write and optimize SQL queries.
Analyze historical data patterns to forecast future trends, seasonality, and the impact of business initiatives.
Validate data accuracy and consistency, working with engineering teams to resolve discrepancies in pipelines or source systems.
Identify manual reporting processes and automate them using SQL, Python, or other tools to improve efficiency.
Partner with non-technical stakeholders (Managers, Marketing, Ops) to translate business questions into data requirements..
Maintain clear documentation for data definitions, metrics logic, and reporting processes.
Communicate technical findings clearly to diverse audiences, ensuring insights lead to measurable business decisions.
What We’re Looking For:
Bachelor’s degree in Mathematics, Statistics, Computer Science, Economics, or a related quantitative field.
Minimum 1–2 years of experience in data analysis, business intelligence, or a relevant role.
Strong mastery of SQL (joins, window functions, CTEs) is mandatory.
Proven experience creating interactive dashboards and reports using Power BI, Tableau, or Qlik.
Advanced proficiency in Excel/Google Sheets; basic knowledge of Python or R for data manipulation is a strong plus.
Excellent verbal and written communication skills, with the ability to explain complex data to non-technical teams.
Specific attention to detail, a proactive problem-solving attitude, and the ability to work in a fast-paced, agile environment.",Rp 6.500.000 – Rp 9.500.000 per month
16,Business Intelligence Analyst,OLX Indonesia,"South Jakarta, Jakarta",Posted 6d ago,"- Kepemilikan dan pemeliharaan laporan yang sudah ada di Platform BI (Tableau, Google Looker, atau Apache Superset) dan Google Sheets dengan Apps Script
- Mampu mengkonfigurasi dan mengembangkan laporan, baik yang bersifat ad hoc maupun terjadwal
- Mengembangkan dan mendukung tugas dan jadwal ETL.
- Mengkonfigurasi dan memantau level peringatan server secara proaktif setiap hari
- Mendukung performance tuning dan aktivitas data mining menggunakan ETL job Strong contribution
- Kontribusi kuat dalam desain basis data, arsitektur data, penambangan dan analisis data, keamanan dan privasi data, serta visualisasi data
- Mampu mengelola Proses Analisis/Dasbor/Laporan dari proses end to end dengan berbagai pemangku kepentingan (stakeholders)
- Bekerja secara mandiri pada tugas-tugas kompleks yang melibatkan ekstraksi data, pembersihan data, dan pengembangan solusi
Requirements:
- Pengalaman kerja 3-4 tahun di bidang terkait
- Pengetahuan mengenai SQL & Tableau adalah keharusan, disertai pemahaman yang baik tentang Python
- Pemahaman yang baik tentang scheduler tools akan menjadi nilai tambah (Airflow atau Jenkins, dll.)
- Pengetahuan mengenai tentang Microsoft Excel atau Google Sheets (fungsi dan alat, dll.)
- Pengalaman mengenai digital marketing dan analisis produk akan menjadi nilai tambah.
- Mampu menentukan prioritas dan urgensi serta menetapkan prioritas yang sesuai
- Mampu bekerja di lingkungan yang bertekanan tinggi (high pressure), sensitif waktu, dan kolaboratif
- Keterampilan komunikasi lisan dan tulisan yang baik dalam Bahasa Indonesia maupun Bahasa Inggris
- Memiliki rasa ingin tahu untuk menggali data secara mendalam guna menemukan akar permasalahan bisnis dan menyelesaikannya
- Memiliki pengalaman dalam mengelola proyek BI/Analitik yang kompleks dengan berbagai pemangku kepentingan (stakeholders).",Not Available
17,Data Center IT Engineer,TITANICOM TECH LIMITED,Jakarta,Posted 13d ago,"Job description
Job Responsibilities:
Install, configure, maintain, and troubleshoot servers, storage systems, and networking hardware (e.g., routers, switches, firewalls).
Perform physical tasks such as racking, stacking, cabling, and hardware replacements.
Monitor and manage environmental controls (temperature, humidity, airflow) to ensure optimal data center performance.
Perform regular equipment inspections and preventive maintenance.
Respond to and resolve support tickets related to hardware and network issues in a timely manner.
Manage asset inventory and maintain detailed documentation of infrastructure, cabling layout, and equipment tracking.
Work closely with network and systems teams to support infrastructure upgrades, migrations, and incident resolution.
Ensure compliance with security protocols, safety standards, and company policies.
Participate in 24/7 shift rotation and on-call support schedule as required.
Collaborate with vendors and service providers for hardware support and facility-related work.


Basic Job Requirement:
Have 1 year experience
Degree in a computer-related field.
Strong communication skills, responsible, able to handle work pressure, and a team player.",Not Available
18,Data Engineer,Cloud Kinetics Technology Sdn Bhd,Jakarta,Posted 21d ago,"Requirements:
3–7 years experience in data engineering (preferably with cloud-native data platforms).
Strong expertise in Google Cloud Platform (GCP)
Strong expertise in AWS data stack: Glue, Redshift (or Redshift Serverless), S3, IAM, Lake Formation, Lambda.
Proficiency in SQL and Python/PySpark.
Experience integrating SAP and/or ERP data sources.
Strong knowledge of API development/integration (REST, GraphQL).
Solid understanding of data modeling (3NF, Star Schema, Dimensional, Data Vault basics).
Ability to design platform standards and lightweight governance (naming conventions, catalog, quality checks).
Strong business acumen – can understand processes and convert into meaningful data solutions.",Not Available
19,IT Analyst Engineer,PT Trans Indonesia Superkoridor,"North Jakarta, Jakarta",Posted 5d ago,"Pengembangan Data Warehouse
Mendesain dan mengembangkan model data analitik seperti fact table dan dimension table
Mengelola struktur dataset dalam Data Warehouse agar optimal untuk analisis dan pelaporan
Transformasi & Integrasi Data
Mengembangkan proses transformasi data (ELT) untuk menyiapkan data yang siap dianalisis
Mengintegrasikan data dari berbagai sumber sistem ke dalam Data Warehouse
Kualitas & Konsistensi Data
Memastikan kualitas, konsistensi, dan akurasi data yang digunakan dalam analisis dan pelaporan
Mengidentifikasi serta memperbaiki inkonsistensi atau anomali data
Kolaborasi Tim
Berkolaborasi dengan tim engineering dan stakeholder bisnis untuk memahami kebutuhan analitik
Mendukung pengembangan dataset untuk dashboard dan laporan bisnis

Kualifikasi
Pendidikan minimal S1 di bidang Computer Science, Data Science, Statistik, Matematika, atau bidang terkait
Pengalaman 1+ tahun dalam data analytics, data engineering, atau data warehouse
Memiliki kemampuan SQL yang kuat untuk analisis dan transformasi data
Memahami data modeling untuk analytics (star schema / dimensional modeling)
Pengalaman bekerja dengan data warehouse atau sistem analitik skala besar
Memiliki kemampuan analitis dan problem solving yang baik
Mampu bekerja secara kolaboratif dengan tim teknis maupun non-teknis

Teknologi yang Digunakan
Pengalaman dengan salah satu atau beberapa teknologi berikut menjadi nilai tambah:
SQL
Data Warehouse
Data transformation tools
Workflow orchestration
BI tools
Python untuk data processing

Nilai Tambah
Kandidat akan lebih diprioritaskan jika memiliki pengalaman:
Membangun ELT / ETL pipeline
Mendesain data mart untuk analitik
Mengembangkan dashboard BI
Bekerja dengan dataset skala besar",Not Available
